district,neighborhood,lat,lon,strategy,place_type,address,is_periphery
kadikoy,caferaga,40.9850403,29.0248102,tight,administrative,"Caferağa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34710, Türkiye",0
zeytinburnu,maltepe,41.0277775,28.9096922,tight,administrative,"Maltepe Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34010, Türkiye",0
kadikoy,goztepe,40.9787185,29.0666827,tight,administrative,"Göztepe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34730, Türkiye",0
umraniye,esensehir,41.0088277,29.1672835,tight,administrative,"Esenşehir Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye",0
uskudar,altunizade,41.0183509,29.0442444,tight,administrative,"Altunizade Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye",0
kartal,rahmanlar,40.88858,29.1856536,fallback,administrative,"Kartal, İstanbul, Marmara Bölgesi, Türkiye",0
zeytinburnu,merkezefendi,41.014371,28.9189855,tight,administrative,"Merkezefendi Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34015, Türkiye",0
kadikoy,19 mayis,40.977008,29.0894372,tight,administrative,"19 Mayıs Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34736, Türkiye",0
sisli,fulya,41.0583894,28.9979356,tight,administrative,"Fulya Mahallesi, Nişantaşı, Şişli, İstanbul, Marmara Bölgesi, Türkiye",0
sancaktepe,sarigazi,41.0069576,29.2112136,tight,administrative,"Sarıgazi Mahallesi, Sancaktepe, İstanbul, Marmara Bölgesi, 34785, Türkiye",0
sariyer,merkez,41.1695338,29.0555158,tight,administrative,"Merkez Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, Türkiye",0
maltepe,zumrutevler,40.9363954,29.147589,tight,administrative,"Zümrütevler Mahallesi, Maltepe, İstanbul, Marmara Bölgesi, 34852, Türkiye",0
kadikoy,bostanci,40.9581685,29.0968046,tight,administrative,"Bostancı Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34744, Türkiye",0
kadikoy,feneryolu,40.9820722,29.0499435,tight,administrative,"Feneryolu Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34724, Türkiye",0
kadikoy,fenerbahce,40.9695548,29.0375465,tight,administrative,"Fenerbahçe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34726, Türkiye",0
kadikoy,merdivenkoy,40.9877529,29.0676991,tight,administrative,"Merdivenköy Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34732, Türkiye",0
basaksehir,bahcesehir,41.0638399,28.6911793,tight,administrative,"Bahçeşehir 1. Kısım Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, Türkiye",0
sisli,19 mayis,41.0598652,28.9914441,tight,administrative,"19 Mayıs Mahallesi, Osmanbey, Şişli, İstanbul, Marmara Bölgesi, 34363, Türkiye",0
pendik,yenisehir,40.9312919,29.3043382,tight,administrative,"Yenişehir Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34912, Türkiye",0
beylikduzu,kavakli,40.9819486,28.6403256,tight,administrative,"Kavaklı Mahallesi, Beylikdüzü, İstanbul, Marmara Bölgesi, 34520, Türkiye",0
sariyer,koyler,41.1685803,29.0572623,fallback,administrative,"Sarıyer, İstanbul, Marmara Bölgesi, Türkiye",0
fatih,merkez,41.090385,29.125244,tight,bus_stop,"Fatih Mahallesi Merkez, Cumhuriyet Caddesi, Fatih Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34830, Türkiye",0
zeytinburnu,cirpici,41.0002245,28.8962437,tight,administrative,"Çırpıcı Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye",0
maltepe,esenkent,40.9286404,29.16732,tight,administrative,"Esenkent Mahallesi, Maltepe, İstanbul, Marmara Bölgesi, 34858, Türkiye",0
bagcilar,gunesli,41.0330866,28.8305182,tight,administrative,"Güneşli Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye",0
kadikoy,erenkoy,40.9721783,29.0758899,tight,administrative,"Erenköy Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34738, Türkiye",0
kadikoy,kozyatagi,40.9685129,29.0924226,tight,administrative,"Kozyatağı Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34742, Türkiye",0
basaksehir,koyler,41.1075794,28.7950711,fallback,administrative,"Başakşehir, İstanbul, Marmara Bölgesi, Türkiye",0
