price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score
48000.0,50.0,1+1,Merkez,Aziz Mahmut Hüdayi,2.0,10.0
46000.0,80.0,2+1,Merkez,Mimar Sinan,3.0,10.0
55000.0,155.0,3+1,Üsküdar,Küplüce,4.0,52.38
50000.0,110.0,3+1,Ferah,Merkez,4.0,10.0
46000.0,100.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
54000.0,175.0,3+1,Üsküdar,Küplüce,4.0,52.38
47000.0,90.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,55.0,1+1,Üsküdar,Barbaros,2.0,52.38
47500.0,130.0,3+1,Üsküdar,Çengelköy,4.0,52.38
55000.0,135.0,3+1,Bulgurlu,Cumhuriyet,4.0,10.0
55000.0,115.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
47000.0,100.0,3+1,Üsküdar,Küçüksu,4.0,52.38
52000.0,125.0,3+1,Merkez,Aziz Mahmut Hüdayi,4.0,10.0
52000.0,89.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
54000.0,75.0,2+1,Üsküdar,İcadiye,3.0,52.38
52500.0,95.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
47000.0,90.0,2+1,Üsküdar,Selami Ali,3.0,52.38
50000.0,140.0,3+1,Üsküdar,Burhaniye,4.0,52.38
55000.0,125.0,3+1,Merkez,Mimar Sinan,4.0,10.0
55000.0,126.0,3+1,Kadıköy,Acıbadem,4.0,74.31
48000.0,95.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
46000.0,145.0,3+1,Ferah,Yavuztürk,4.0,10.0
52000.0,95.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,77.0,2+1,Üsküdar,Çengelköy,3.0,52.38
55000.0,130.0,3+1,Ferah,Merkez,4.0,10.0
53000.0,105.0,2+1,Üsküdar,Kirazlıtepe,3.0,52.38
55000.0,65.0,1+1,Merkez,Salacak,2.0,10.0
49000.0,95.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,120.0,2+1,Ünalan,Ünalan,3.0,10.0
50000.0,120.0,3+1,Kadıköy,Acıbadem,4.0,74.31
55000.0,130.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
50000.0,140.0,3+1,Üsküdar,Güzeltepe,4.0,52.38
47500.0,80.0,2+1,Merkez,Aziz Mahmut Hüdayi,3.0,10.0
50000.0,104.0,3+1,Üsküdar,Küçüksu,4.0,52.38
52000.0,78.0,2+1,Üsküdar,Selami Ali,3.0,52.38
48500.0,100.0,3+1,Bulgurlu,Merkez,4.0,10.0
53000.0,65.0,1+1,Üsküdar,Küplüce,2.0,52.38
53000.0,98.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
52000.0,98.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
50000.0,100.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
46000.0,70.0,2+1,Üsküdar,Selami Ali,3.0,52.38
51000.0,130.0,3+1,Üsküdar,Kirazlıtepe,4.0,52.38
50000.0,105.0,3+1,Üsküdar,Küçüksu,4.0,52.38
47000.0,110.0,3+1,Ferah,Merkez,4.0,10.0
45500.0,85.0,2+1,Üsküdar,Çengelköy,3.0,52.38
48000.0,130.0,3+1,Üsküdar,Mehmet Akif Ersoy,4.0,52.38
47000.0,95.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
51000.0,122.0,2+1,Bulgurlu,Merkez,3.0,10.0
48000.0,180.0,3+2,Bahçelievler,Bahçelievler,5.0,10.0
47000.0,100.0,2+1,Üsküdar,Selimiye,3.0,52.38
50000.0,103.0,2+1,Ferah,Merkez,3.0,10.0
53000.0,160.0,3+1,Ünalan,Ünalan,4.0,10.0
46000.0,125.0,3+1,Bulgurlu,Cumhuriyet,4.0,10.0
47500.0,85.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
52000.0,115.0,3+1,Bahçelievler,Bahçelievler,4.0,10.0
52500.0,110.0,3+1,Ferah,Kısıklı,4.0,10.0
55000.0,102.0,2+1,Üsküdar,Güzeltepe,3.0,52.38
52500.0,150.0,2+1,Üsküdar,Valide-i Atik,3.0,52.38
48000.0,75.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,130.0,3+1,Kadıköy,Acıbadem,4.0,74.31
53000.0,120.0,3+1,Bulgurlu,Cumhuriyet,4.0,10.0
51000.0,92.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
54500.0,95.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
51000.0,130.0,3+1,Ünalan,Ünalan,4.0,10.0
48000.0,85.0,2+1,Merkez,Salacak,3.0,10.0
55000.0,134.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
