price,area_m2,room_count,district,neighborhood,total_rooms
29500.0,60.0,1+1,sancaktepe,eyup sultan,2.0
30000.0,120.0,3+1,sancaktepe,meclis,4.0
30000.0,70.0,1+1,sancaktepe,akpinar,2.0
29550.0,85.0,2+1,sancaktepe,ataturk,3.0
30000.0,120.0,3+1,sancaktepe,merve,4.0
31000.0,61.0,1+1,sancaktepe,fatih,2.0
27000.0,80.0,2+1,sancaktepe,kemal turkler,3.0
30000.0,115.0,3+1,sancaktepe,yunus emre,4.0
29000.0,85.0,2+1,sancaktepe,yunus emre,3.0
28500.0,65.0,1+1,sancaktepe,fatih,2.0
30000.0,110.0,3+1,sancaktepe,kemal turkler,4.0
27000.0,110.0,2+1,sancaktepe,fatih,3.0
30000.0,140.0,3+1,sancaktepe,abdurrahmangazi,4.0
27000.0,150.0,3+1,sancaktepe,sarigazi,4.0
30000.0,92.0,2+1,sancaktepe,abdurrahmangazi,3.0
28000.0,100.0,3+1,sancaktepe,kemal turkler,4.0
30750.0,140.0,3+1,sancaktepe,safa,4.0
31000.0,85.0,2+1,sancaktepe,meclis,3.0
30000.0,150.0,3+1,sancaktepe,sarigazi,4.0
27000.0,85.0,2+1,sancaktepe,fatih,3.0
28000.0,95.0,2+1,sancaktepe,meclis,3.0
29500.0,125.0,1+1,sancaktepe,osmangazi,2.0
28000.0,140.0,3+1,sancaktepe,ataturk,4.0
30000.0,90.0,2+1,sancaktepe,yenidogan,3.0
30000.0,70.0,1+1,sancaktepe,emek,2.0
28000.0,100.0,2+1,sancaktepe,ataturk,3.0
29500.0,72.0,2+1,sancaktepe,ataturk,3.0
31000.0,130.0,3+1,sancaktepe,meclis,4.0
27000.0,90.0,2+1,sancaktepe,kemal turkler,3.0
29000.0,85.0,2+1,sancaktepe,inonu,3.0
30000.0,70.0,2+1,sancaktepe,ataturk,3.0
30000.0,52.0,1+1,sancaktepe,abdurrahmangazi,2.0
30000.0,140.0,3+1,sancaktepe,osmangazi,4.0
27000.0,100.0,2+1,sancaktepe,yenidogan,3.0
30000.0,135.0,3+1,sancaktepe,safa,4.0
